item_identifier,item_fat_content,item_mrp,item_outlet_sales,item_type,item_visibility,item_weight,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type
FDX40,Low Fat,39.91640090942383,38.61640167236328,Frozen Foods,0.17332421243190765,,1985,OUT019,Tier 1,Small,Grocery Store
FDA58,Low Fat,235.89320373535156,942.7728271484375,Snack Foods,0.10375123471021652,9.395000457763672,1997,OUT046,Tier 1,Small,Supermarket Type1
FDB05,Low Fat,247.27760314941406,5944.26220703125,Frozen Foods,0.08332769572734833,5.15500020980835,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDP20,Low Fat,128.1020050048828,1265.02001953125,Fruits and Vegetables,0.045631229877471924,19.850000381469727,1987,OUT013,Tier 3,High,Supermarket Type1
DRK11,Low Fat,149.93919372558594,1938.8095703125,Hard Drinks,0.01078115776181221,8.210000038146973,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDR35,Low Fat,197.27420043945312,3782.409912109375,Breads,0.020729901269078255,12.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCZ17,Low Fat,36.65060043334961,493.3577880859375,Health and Hygiene,0.07975521683692932,12.149999618530273,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDX03,Regular,45.674400329589844,633.8416137695312,Meat,0.06121987849473953,15.850000381469727,2002,OUT045,Tier 2,,Supermarket Type1
FDG57,Low Fat,49.40340042114258,194.41360473632812,Fruits and Vegetables,0.12101263552904129,14.699999809265137,1998,OUT010,Tier 3,,Grocery Store
FDE50,Regular,188.25559997558594,3379.600830078125,Canned,0.01620258204638958,19.700000762939453,2004,OUT035,Tier 2,Small,Supermarket Type1
FDD50,Low Fat,171.01319885253906,4396.943359375,Canned,0.1418624371290207,18.850000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDQ51,Regular,48.17179870605469,756.3488159179688,Meat,0.0,16.0,2007,OUT017,Tier 2,,Supermarket Type1
FDO28,Low Fat,121.60980224609375,482.0392150878906,Frozen Foods,0.07194825261831284,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDG58,Regular,156.19720458984375,1869.56640625,Snack Foods,0.0,10.694999694824219,1997,OUT046,Tier 1,Small,Supermarket Type1
FDA14,Low Fat,145.0760040283203,1904.18798828125,Dairy,0.06528457254171371,16.100000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
